table_schema,table_name,constraint_name,column_name
FH,FHTaxFormPrintTemplates,PK_FHTaxFormPrintTemplates,FHTaxFormPrintTemplateKey
FH,FHTaxFormYearEndPrintLogs,PK_FHTaxFormYearEndPrintLogs,FHTaxFormYearEndPrintLogKey
FH,FHTaxFormYearEndPrintVendorLogs,PK_FHTaxFormYearEndPrintVendorLogs,FHTaxFormYearEndPrintVendorLogKey
FH,FHUBRevenueCodeDatas,PK_FHUBRevenueCodeDatas,FHUBRevenueCodeDataKey
FH,FHUbARFrontDeskPaymentDatas,PK_FHUbARFrontDeskPaymentDatas,FHUbARFrontDeskPaymentDataKey
FH,FHUbARReceiptBatchDatas,PK_FHUbARReceiptBatchDatas,FHUbARReceiptBatchDataKey
FH,FHUbARReceiptDatas,PK_FHUbARReceiptDatas,FHUbARReceiptDataKey
FH,FHUbARReceiptPaymentDatas,PK_FHUbARReceiptPaymentDatas,FHUbARReceiptPaymentDataKey
FH,FHUbARReceiptPaymentRecordDatas,PK_FHUbARReceiptPaymentRecordDatas,FHUbARReceiptPaymentRecordDataKey
FH,FHUbProcessedReceiptRunDatas,PK_FHUbProcessedReceiptRunDatas,FHUbProcessedReceiptRunDataKey
FH,FHUbProcessedReceiptRunlogs,PK_FHUbProcessedReceiptRunlogs,FHUbProcessedReceiptRunlogKey
FH,FHVendorAttachmentFileDatas,PK_FHVendorAttachmentFileDatas,FHVendorAttachmentFileDataKey
FH,FHVendorGLDistributionDatas,PK_FHVendorGLDistributionDatas,FHVendorGLDistributionDataKey
FH,FHVendorPaymentAmountDatas,PK_FHVendorPaymentAmountDatas,FHVendorPaymentAmountDataKey
FH,FHVendorPaymentRefreshLogs,PK_FHVendorPaymentRefreshLogs,FHVendorPaymentRefreshLogKey
FH,FHVendorSetupDatas,PK_FHVendorSetupDatas,FHVendorSetupDataKey
FH,FHVoucherPrintTemplates,PK_FHVoucherPrintTemplates,FHVoucherPrintTemplateKey
FH,FHYearEndDistributionDatas,PK_FHYearEndDistributionDatas,FHYearEndDistributionDataKey
FH,FHYearEndRollDatas,PK_FHYearEndRollDatas,FHYearEndRollDataKey
FH,FH_MigrationHistory,PK_FH_MigrationHistory,MigrationId
FH,ReportRelatedAccountBreakAccountLineMappings,PK_ReportRelatedAccountBreakAccountLineMappings,ReportRelatedAccountBreakAccountLineMappingKey
FH,ReportRelatedAccountBreaks,PK_ReportRelatedAccountBreaks,ReportRelatedAccountBreakKey
